ZCTA,GEOID20,oy_pct,population,pop_16_24,adjacent
77338,77338,0.06,39852,5260,"77032, 77073, 77339, 77346, 77373, 77386, 77396"
77339,77339,0.0386,41025,5415,"77338, 77345, 77346, 77365, 77386"
77340,77340,0.068,36541,4823,"77320, 77341, 77358, 77359, 77831, 77873"
77341,77341,0,2154,284,77340
77342,77342,0,1125,149,77320
77345,77345,0.0381,31025,4095,"77336, 77339, 77346, 77357, 77365"
77346,77346,0.0558,61025,8055,"77044, 77336, 77338, 77339, 77345, 77396, 77532"
77351,77351,0.2987,18954,2502,"77327, 77369"
77354,77354,0.1341,36541,4823,"77316, 77355, 77362, 77363, 77375, 77382, 77384"
77355,77355,0.1375,29852,3940,"77354, 77362, 77363, 77377, 77447, 77484"
77356,77356,0.1468,26541,3503,"77304, 77316, 77318, 77358, 77830, 77868, 77873"
77357,77357,0.0843,21025,2775,"77302, 77306, 77327, 77336, 77345, 77365, 77372, 77535"
77358,77358,0.1552,11425,1508,"77318, 77340, 77356, 77378, 77873"
77359,77359,0,510,67,"77320, 77340"
77362,77362,0,26541,3503,"77354, 77355, 77375, 77377"
77363,77363,0.2391,14125,1865,"77316, 77354, 77355, 77484"
77365,77365,0.1138,34952,4614,"77302, 77339, 77345, 77357, 77386"
77367,77367,0,1120,148,"75862, 77320"
77368,77368,0,3654,482,77327
77369,77369,0,1210,160,"77327, 77351, 77376"
77371,77371,0.2011,4125,545,77327
77372,77372,0.1497,9854,1301,"77306, 77327, 77328, 77357"
77373,77373,0.1282,56541,7463,"77073, 77338, 77386, 77388, 77389"
77374,77374,0.45,1854,245,77327
77375,77375,0.1365,64125,8465,"77070, 77354, 77362, 77377, 77379, 77382, 77389"
77376,77376,0,1420,187,"77327, 77369"
77377,77377,0.1011,39852,5260,"77070, 77355, 77362, 77375, 77429, 77433, 77447"
77378,77378,0.2266,14125,1865,"77303, 77318, 77328, 77358"
77379,77379,0.1115,81025,10695,"77068, 77069, 77070, 77090, 77375, 77388, 77389"
77380,77380,0.1485,26541,3503,"77381, 77385, 77386, 77389"
77381,77381,0.084,38952,5142,"77380, 77382, 77384, 77385, 77389"
77382,77382,0.0677,39854,5261,"77354, 77375, 77381, 77384"
77384,77384,0.1023,18541,2447,"77304, 77316, 77354, 77381, 77382, 77385"
77385,77385,0.0607,32145,4243,"77302, 77380, 77381, 77384, 77386"
77386,77386,0.0297,59852,7900,"77302, 77338, 77339, 77365, 77373, 77380, 77385"
77388,77388,0.0961,48521,6405,"77090, 77373, 77379, 77389"
77389,77389,0.1984,41025,5415,"77373, 77375, 77379, 77380, 77381, 77388"
77396,77396,0.1902,54125,7145,"77032, 77039, 77044, 77050, 77338, 77346"
77401,77401,0.0332,18952,2502,"77005, 77025, 77081, 77096"
77406,77406,0.0769,46541,6143,"77407, 77441, 77464, 77469, 77471, 77479, 77494, 77498"
77407,77407,0.0829,58952,7782,"77082, 77083, 77406, 77450, 77494, 77498"
77412,77412,0,1850,244,"77442, 78934"
77414,77414,0.1706,19854,2621,"77415, 77419, 77420, 77422, 77432, 77437, 77440, 7?, 77457, 77458, 77465, 77480, 77482, 77483, 77488"
77415,77415,0,1120,148,77414
77417,77417,0.2632,11025,1455,"77435, 77451, 77461, 77471, 77488"
77418,77418,0.2047,6541,863,"77423, 77426, 77445, 77474, 77833, 78931, 78933, 78944, 78950"
77419,77419,0,2140,282,"77414, 77440, 77455, 77458, 77465, 77961"
77420,77420,0,5854,773,"77414, 77444, 77453, 77461, 77468, 77480, 77482, 77488"
77422,77422,0.3817,9852,1300,"77414, 77480, 77486, 77515, 77541, 77566"
77423,77423,0.135,16541,2183,"77418, 77441, 77445, 77466, 77474, 77476, 77484, 77485, 77493, 77494"
77426,77426,0,2150,284,"77418, 77445, 77833"
77428,77428,0,2140,282,77465
77429,77429,0.066,88541,11687,"77065, 77070, 77095, 77377, 77433"
77430,77430,0.3939,3654,482,"77444, 77461, 77486, 77515, 77583"
77431,77431,0,1850,244,"77468, 77480, 77482"
77432,77432,0,1120,148,"77414, 77437"
77433,77433,0.0863,116541,15383,"77084, 77095, 77377, 77429, 77447, 77449, 77493"
77434,77434,0.0932,4125,545,"77435, 77436, 77442, 77454, 77488, 78933, 78935"
77435,77435,0.129,4852,640,"77417, 77434, 77436, 77448, 77451, 77454, 77471, 77485, 77488, 78933"
77436,77436,0,2150,284,"77434, 77435, 77443, 77488"
